Word,Rating.Mean,
smoke,4.00,
arm,3.26,
film,6.95,
government,8.50,
tree,3.57,
foot,3.44,
contact,7.78,
knock,4.63,
agree,7.68,
pardon,7.83,
gift,5.05,
south,6.06,
hat,3.33,
board,6.37,
sake,8.74,
sweetheart,6.26,
north,6.55,
department,9.84,
patient,7.05,
awful,6.26,
sad,3.24,
roll,4.47,
beginning,5.40,
grand,6.68,
sergeant,9.00,
killer,6.48,
laugh,3.79,
doubt,8.79,
upon,6.18,
double,5.58,
twice,5.89,
plenty,5.76,
guilty,8.05,
race,6.00,
crap,6.50,
chicken,3.26,
bathroom,3.00,
asshole,9.52,
spot,5.39,
weekend,4.79,
detective,6.58,
action,6.67,
sheriff,6.00,
glass,4.47,
type,6.58,
experience,8.95,
west,5.89,
obviously,8.21,
wine,7.90,
press,6.40,
difficult,5.85,
brown,4.20,
nick,7.59,
rid,6.79,
sea,4.74,
arms,3.74,
flight,7.47,
arrest,7.47,
neck,3.00,
grow,4.79,
mention,8.06,
favorite,5.72,
wind,3.89,
